sym0,sym1,sym2,sym3,sym4,sym5,sym6
R900,R976,R999,R599,R999,R999,R332
R900,R976,R699,R599,R999,R999,R332
R900,R976,R479,R599,R999,R999,R332
R900,R976,R479,R599,R999,R999,R332
R900,R975,R479,R599,R999,R999,R332
R900,R975,R479,R599,R999,R960,R332
R900,R975,R479,R599,R999,R960,R332
R940,R965,R479,R599,R999,R960,R336
R950,R965,R479,R599,R999,R960,R332
R950,R966,R479,R599,R999,R960,R448
R960,R965,R479,R589,R999,R967,R332
R960,R965,R479,R599,R999,R967,R333
R960,R975,R479,R599,R999,R960,R331
R960,R975,R479,R599,R999,R960,R333
R960,R976,R479,R599,R999,R900,R343
R960,R975,R479,R599,R999,R907,R167
R961,R949,R479,R999,R999,R900,R167
R961,R949,R479,R999,R999,R907,R63
R961,R949,R479,R999,R999,R900,R163
R971,R949,R479,R999,R999,R900,R63
R972,R949,R479,R999,R999,R900,R279
R973,R959,R479,R990,R999,R900,R63
R975,R949,R479,R990,R999,R900,R63
R978,R949,R479,R990,R999,R900,R63
R979,R949,R479,R990,R999,R907,R63
R979,R949,R479,R990,R999,R900,R63
R979,R949,R479,R990,R999,R900,R163
R979,R949,R479,R990,R999,R900,R277
R979,R949,R479,R990,R999,R900,R63
R979,R949,R479,R990,R999,R900,R279
R979,R959,R479,R999,R999,R900,R264
R999,R959,R479,R999,R999,R907,R154
R999,R959,R478,R999,R999,R900,R266
R999,R959,R488,R999,R999,R900,R279
R999,R949,R393,R999,R999,R907,R154
R989,R949,R393,R999,R999,R900,R154
R989,R959,R393,R999,R999,R900,R264
R989,R949,R393,R999,R999,R907,R154
R989,R949,R392,R999,R999,R900,R255
R989,R959,R393,R990,R899,R900,R163
R989,R959,R395,R990,R899,R907,R174
R989,R959,R388,R990,R899,R900,R173
R989,R959,R387,R990,R899,R907,R62
R989,R959,R387,R990,R899,R900,R274
R989,R959,R387,R990,R999,R900,R175
R989,R959,R387,R990,R999,R900,R163
R979,R959,R387,R990,R899,R900,R63
R989,R959,R387,R990,R899,R907,R63
R979,R959,R395,R990,R767,R907,R268
R979,R959,R392,R990,R768,R900,R155
R979,R959,R391,R990,R768,R900,R266
R979,R959,R391,R990,R867,R900,R278
R979,R975,R391,R980,R768,R900,R264
R979,R975,R391,R980,R768,R900,R154
R979,R975,R391,R980,R768,R907,R266
R979,R975,R391,R980,R767,R907,R279
R979,R975,R391,R980,R768,R900,R154
R979,R975,R391,R980,R767,R900,R154
R979,R975,R391,R980,R768,R900,R266
R979,R975,R392,R980,R768,R907,R267
R979,R975,R392,R980,R768,R900,R164
R979,R975,R392,R980,R768,R900,R154
R979,R975,R392,R980,R768,R900,R164
R979,R975,R392,R980,R767,R900,R279
R979,R975,R392,R980,R768,R900,R267
R979,R975,R392,R980,R768,R900,R164
R979,R975,R392,R980,R768,R907,R164
R979,R975,R392,R980,R767,R900,R279
R979,R975,R392,R990,R768,R900,R164
R979,R975,R392,R990,R768,R900,R154
R979,R975,R392,R980,R867,R907,R279
R979,R975,R392,R980,R768,R907,R164
R979,R975,R392,R980,R767,R900,R278
R979,R975,R293,R980,R768,R900,R164
R979,R975,R293,R980,R768,R900,R267
R979,R974,R293,R980,R767,R907,R279
R979,R974,R293,R980,R768,R901,R276
R979,R974,R293,R980,R768,R523,R164
R979,R975,R292,R980,R768,R514,R154
R979,R965,R293,R980,R867,R513,R265
R979,R974,R293,R980,R768,R513,R154
R979,R965,R293,R980,R867,R408,R279
R979,R964,R293,R990,R767,R503,R279
R979,R965,R293,R990,R867,R513,R279
R979,R965,R293,R980,R768,R514,R164
R979,R964,R293,R980,R768,R513,R154
R979,R965,R292,R980,R767,R408,R257
R979,R965,R292,R980,R767,R504,R154
R979,R964,R293,R908,R767,R513,R279
R989,R964,R293,R908,R768,R514,R267
R999,R964,R293,R908,R866,R507,R154
R999,R964,R293,R908,R768,R504,R164
R999,R964,R293,R908,R768,R428,R167
R999,R964,R293,R908,R768,R528,R164
R999,R964,R293,R918,R767,R418,R279
R999,R964,R293,R908,R768,R428,R265
R999,R964,R293,R908,R768,R518,R167
R999,R964,R293,R908,R768,R514,R267
R999,R964,R293,R908,R768,R524,R153
R999,R964,R293,R908,R768,R513,R166
R999,R964,R293,R908,R768,R518,R165
R999,R964,R293,R908,R768,R502,R265
R999,R964,R293,R908,R768,R524,R164
R999,R964,R293,R918,R768,R514,R164
R999,R964,R293,R908,R767,R418,R278
R999,R964,R293,R908,R866,R513,R278
R999,R964,R293,R908,R768,R514,R154
R999,R954,R293,R908,R768,R513,R153
R989,R954,R293,R908,R767,R523,R279
R989,R953,R194,R918,R768,R525,R154
R989,R953,R194,R918,R768,R503,R154
R989,R953,R294,R918,R768,R514,R154
R989,R954,R294,R908,R768,R318,R154
R989,R953,R294,R908,R768,R225,R154
R989,R953,R294,R908,R767,R225,R279
R989,R953,R294,R908,R767,R229,R279
R899,R853,R294,R908,R768,R225,R154
R899,R853,R294,R908,R768,R229,R154
R899,R853,R294,R918,R768,R214,R154
R899,R854,R294,R908,R768,R225,R154
R899,R853,R294,R918,R866,R225,R428
R899,R853,R295,R918,R864,R229,R526
R899,R854,R294,R918,R864,R255,R529
R899,R854,R295,R918,R874,R255,R517
R899,R838,R295,R909,R874,R255,R507
R899,R838,R295,R909,R883,R258,R507
R899,R838,R295,R909,R883,R255,R507
R899,R838,R295,R909,R884,R259,R517
R899,R828,R296,R909,R874,R255,R507
R899,R828,R296,R809,R874,R245,R517
R899,R828,R296,R809,R883,R244,R507
R889,R828,R296,R809,R884,R255,R507
R889,R828,R296,R809,R883,R245,R507
R889,R827,R297,R809,R883,R245,R519
R889,R828,R296,R809,R883,R245,R507
R889,R828,R294,R809,R883,R255,R507
R889,R828,R294,R809,R883,R245,R506
R889,R828,R194,R809,R882,R249,R518
R889,R827,R294,R809,R891,R245,R516
R888,R827,R294,R909,R891,R255,R528
R888,R827,R294,R809,R891,R255,R516
R889,R827,R294,R809,R891,R255,R516
R888,R827,R294,R809,R890,R258,R518
R888,R828,R294,R909,R890,R244,R518
R878,R827,R294,R809,R891,R245,R516
R878,R827,R195,R809,R891,R248,R516
R878,R827,R195,R809,R891,R249,R516
R878,R827,R195,R809,R890,R244,R529
R878,R827,R194,R808,R890,R249,R529
R878,R827,R195,R808,R890,R155,R529
R878,R827,R185,R808,R891,R155,R527
R876,R827,R195,R809,R890,R156,R629
R885,R827,R185,R809,R890,R156,R629
R885,R817,R195,R909,R890,R156,R517
R785,R817,R195,R809,R891,R159,R516
R683,R817,R195,R809,R890,R156,R627
R684,R817,R185,R809,R891,R159,R626
R594,R817,R185,R809,R891,R159,R516
R594,R826,R185,R809,R891,R295,R616
R694,R826,R185,R808,R891,R195,R619
R694,R826,R194,R809,R891,R295,R605
R593,R816,R184,R809,R891,R294,R605
R493,R816,R185,R809,R891,R295,R605
R492,R816,R163,R809,R891,R295,R607
R492,R817,R144,R809,R891,R195,R607
R492,R816,R153,R809,R891,R199,R607
R492,R816,R153,R809,R891,R295,R617
R492,R816,R144,R809,R891,R299,R605
R392,R816,R143,R809,R891,R295,R605
R392,R816,R143,R809,R891,R295,R605
R392,R816,R144,R809,R891,R295,R605
R392,R816,R153,R809,R891,R298,R605
R392,R816,R163,R809,R891,R295,R617
R392,R816,R163,R809,R882,R295,R605
R392,R816,R143,R809,R882,R198,R616
R392,R816,R153,R809,R882,R199,R614
R392,R816,R144,R809,R782,R294,R614
R392,R816,R143,R809,R781,R299,R629
R392,R816,R153,R808,R782,R295,R614
R392,R816,R154,R808,R781,R295,R614
R282,R816,R143,R808,R782,R299,R614
R282,R816,R44,R808,R781,R295,R629
R282,R816,R44,R808,R782,R195,R614
R282,R816,R64,R808,R782,R295,R614
R282,R816,R54,R808,R782,R199,R617
R282,R816,R54,R808,R781,R195,R629
R282,R816,R44,R808,R782,R195,R613
R282,R816,R54,R808,R881,R199,R628
R292,R816,R54,R808,R882,R195,R614
R292,R816,R44,R808,R782,R195,R614
R292,R816,R44,R808,R782,R195,R615
R192,R816,R44,R808,R782,R195,R613
R192,R815,R54,R808,R782,R199,R613
R192,R816,R54,R808,R782,R195,R613
R192,R816,R64,R808,R891,R156,R728
R192,R816,R54,R808,R891,R156,R625
R291,R816,R44,R808,R782,R155,R626
R191,R817,R54,R808,R891,R159,R729
R191,R817,R54,R808,R882,R159,R625
R191,R817,R164,R808,R881,R155,R626
R191,R816,R173,R808,R782,R159,R625
R191,R816,R174,R808,R782,R155,R627
R191,R806,R164,R808,R782,R155,R625
R191,R807,R164,R808,R891,R156,R729
R191,R817,R164,R808,R881,R156,R626
R191,R816,R164,R809,R881,R156,R724
R191,R806,R163,R808,R882,R159,R726
R191,R806,R163,R808,R782,R155,R725
R191,R806,R164,R808,R781,R159,R729
R191,R806,R164,R808,R891,R156,R729
R191,R806,R164,R808,R891,R156,R725
R191,R806,R163,R808,R891,R156,R724
R191,R806,R173,R808,R891,R169,R729
R191,R806,R164,R808,R891,R156,R729
R191,R806,R164,R890,R891,R156,R729
R191,R806,R164,R890,R891,R159,R726
R191,R806,R173,R890,R891,R159,R728
R191,R806,R64,R890,R891,R156,R725
R191,R806,R64,R890,R891,R156,R727
R191,R806,R64,R890,R891,R156,R727
R191,R806,R64,R890,R891,R156,R724
R191,R806,R64,R890,R891,R56,R729
R191,R806,R74,R890,R891,R59,R724
R191,R806,R64,R890,R891,R59,R724
R191,R806,R64,R890,R891,R156,R724
R191,R806,R73,R890,R891,R59,R725
R191,R806,R64,R890,R891,R156,R723
R191,R806,R64,R890,R891,R59,R829
R191,R805,R64,R890,R891,R59,R723
R191,R805,R64,R890,R891,R59,R727
R191,R804,R73,R890,R891,R39,R727
R191,R704,R64,R890,R891,R36,R743
R191,R720,R63,R780,R891,R36,R743
R191,R720,R64,R780,R881,R36,R744
R191,R720,R64,R880,R881,R126,R744
R191,R720,R64,R881,R881,R39,R747
R191,R720,R174,R880,R881,R39,R747
R191,R720,R63,R880,R891,R36,R743
R191,R720,R73,R780,R891,R39,R849
R191,R720,R164,R780,R881,R39,R743
R191,R720,R174,R780,R891,R136,R848
R191,R720,R174,R780,R881,R39,R743
R191,R720,R174,R780,R891,R39,R849
R191,R720,R174,R780,R891,R36,R848
R181,R720,R174,R780,R882,R36,R761
R181,R720,R164,R780,R683,R136,R789
R181,R720,R73,R880,R782,R135,R778
R181,R720,R63,R880,R683,R36,R771
R181,R720,R173,R880,R783,R36,R788
R181,R710,R164,R880,R673,R136,R771
R181,R710,R64,R880,R673,R39,R776
R181,R710,R63,R880,R673,R39,R771
R181,R710,R73,R880,R782,R36,R788
R181,R710,R74,R780,R682,R36,R777
R181,R710,R74,R780,R673,R36,R771
R181,R710,R64,R780,R673,R29,R771
R181,R710,R74,R780,R673,R39,R778
R181,R710,R63,R880,R683,R36,R778
R81,R710,R64,R880,R673,R36,R771
R81,R710,R64,R780,R673,R36,R771
R81,R710,R64,R780,R673,R36,R771
R81,R710,R74,R780,R673,R36,R771
R80,R710,R64,R780,R673,R36,R871
R80,R710,R74,R780,R673,R39,R771
R80,R710,R57,R780,R673,R36,R871
R81,R710,R56,R780,R673,R39,R871
R81,R710,R56,R780,R673,R59,R882
R81,R710,R56,R780,R673,R59,R878
R81,R704,R66,R780,R673,R59,R878
R81,R703,R55,R781,R673,R66,R861
R80,R703,R66,R781,R673,R66,R864
R80,R703,R56,R781,R673,R66,R861
R80,R703,R27,R781,R673,R69,R878
R80,R703,R28,R781,R673,R56,R878
R80,R703,R28,R781,R673,R59,R860
R80,R703,R28,R780,R673,R59,R878
R80,R703,R28,R781,R673,R69,R860
R80,R703,R27,R781,R673,R59,R860
R80,R704,R27,R781,R673,R66,R870
R80,R704,R27,R781,R673,R66,R860
R80,R703,R28,R781,R673,R69,R865
R80,R703,R28,R781,R673,R59,R865
R80,R703,R28,R781,R673,R59,R860
R80,R703,R28,R781,R673,R56,R860
R80,R703,R27,R781,R673,R56,R860
R80,R703,R27,R781,R673,R66,R889
R80,R703,R28,R781,R673,R56,R860
R80,R703,R28,R781,R673,R59,R873
R70,R704,R27,R781,R673,R56,R870
R70,R703,R28,R780,R673,R66,R878
R70,R703,R28,R781,R673,R66,R870
R70,R703,R28,R781,R673,R66,R871
R70,R703,R28,R781,R673,R66,R870
R70,R703,R28,R781,R673,R66,R978
R70,R703,R28,R781,R673,R66,R870
R70,R703,R27,R781,R673,R66,R870
R80,R703,R27,R780,R673,R69,R970
R80,R703,R28,R780,R673,R69,R971
R80,R703,R27,R780,R673,R69,R970
R80,R703,R28,R781,R673,R66,R970
R80,R703,R27,R781,R673,R66,R987
R80,R703,R37,R781,R673,R56,R970
R80,R704,R37,R781,R682,R69,R970
R80,R705,R37,R781,R682,R66,R951
R80,R705,R36,R771,R682,R66,R966
R80,R705,R37,R771,R682,R69,R951
R80,R705,R36,R771,R682,R66,R962
R80,R705,R36,R781,R682,R66,R971
R80,R704,R45,R781,R682,R66,R961
R80,R705,R45,R781,R682,R56,R964
R80,R704,R45,R781,R682,R66,R961
R80,R704,R46,R781,R682,R67,R961
R80,R705,R44,R781,R682,R69,R961
R80,R704,R45,R781,R682,R69,R977
R80,R704,R55,R781,R682,R69,R977
R80,R705,R45,R771,R682,R66,R961
R80,R705,R45,R771,R682,R66,R979
R80,R704,R45,R771,R682,R67,R961
R80,R704,R45,R771,R682,R69,R979
R80,R704,R45,R771,R682,R66,R961
R70,R704,R45,R781,R682,R69,R974
R70,R704,R45,R781,R682,R66,R971
R70,R704,R46,R771,R682,R66,R970
R70,R704,R45,R771,R682,R69,R970
R70,R704,R45,R771,R682,R66,R970
R70,R704,R118,R771,R682,R67,R971
R70,R704,R118,R771,R682,R69,R971
R70,R704,R118,R771,R682,R66,R988
R70,R704,R128,R771,R682,R59,R988
R70,R704,R118,R781,R682,R56,R970
R70,R704,R118,R781,R682,R66,R970
R70,R704,R118,R781,R682,R59,R970
R70,R704,R128,R781,R682,R156,R973
R70,R704,R118,R781,R682,R56,R973
R70,R704,R128,R781,R682,R56,R971
R70,R704,R128,R776,R682,R56,R970
R70,R705,R109,R771,R682,R66,R970
R70,R705,R109,R771,R682,R56,R970
R70,R703,R109,R780,R673,R156,R973
R70,R703,R109,R771,R673,R156,R980
R70,R710,R109,R671,R673,R156,R980
