sym0,sym1,sym2,sym3,sym4,sym5,sym6
R2500,R2950,R3124,R1853,R3102,R3120,R778
R2500,R2950,R2495,R1853,R3102,R3120,R778
R2500,R2950,R1740,R1853,R3102,R3120,R778
R2500,R2950,R1740,R1853,R3102,R3120,R778
R2500,R2925,R1740,R1853,R3110,R3120,R778
R2500,R2925,R1740,R1853,R3110,R2883,R778
R2500,R2925,R1740,R1853,R3110,R2883,R778
R2750,R2925,R1740,R1853,R3116,R2884,R828
R2754,R2925,R1740,R1853,R3110,R2883,R778
R2754,R2950,R1740,R1853,R3114,R2883,R1603
R2879,R2925,R1740,R1874,R3103,R2954,R778
R2879,R2925,R1740,R1852,R3102,R2954,R784
R2899,R2925,R1740,R1852,R3102,R2879,R753
R2899,R2925,R1740,R1852,R3108,R2878,R778
R2899,R2950,R1740,R1852,R3107,R2508,R909
R2899,R2925,R1740,R1852,R3102,R2578,R470
R2899,R2850,R1740,R3120,R3102,R2508,R470
R2899,R2850,R1740,R3120,R3102,R2578,R420
R2899,R2850,R1740,R3120,R3107,R2507,R420
R2899,R2855,R1740,R3120,R3107,R2508,R420
R2920,R2850,R1740,R3120,R3114,R2508,R1120
R2920,R2855,R1740,R3020,R3102,R2508,R420
R2945,R2855,R1740,R3020,R3114,R2508,R420
R2995,R2855,R1740,R3020,R3102,R2508,R420
R2995,R2855,R1740,R3020,R3102,R2577,R420
R2995,R2855,R1740,R3020,R3102,R2508,R420
R2995,R2855,R1740,R3020,R3102,R2508,R420
R2995,R2855,R1740,R3020,R3102,R2508,R1095
R2995,R2855,R1740,R3020,R3107,R2508,R420
R2995,R2855,R1740,R3020,R3114,R2507,R1120
R2995,R2860,R1740,R3120,R3107,R2509,R1074
R3120,R2860,R1735,R3120,R3107,R2579,R316
R3120,R2860,R1730,R3120,R3108,R2509,R1090
R3120,R2860,R1855,R3120,R3114,R2507,R1116
R3105,R2860,R1155,R3104,R3107,R2578,R316
R3104,R2860,R1155,R3104,R3102,R2508,R316
R3104,R2860,R1155,R3104,R3107,R2508,R1074
R3104,R2860,R1155,R3104,R3102,R2578,R316
R3104,R2860,R1155,R3104,R3107,R2509,R949
R3104,R2860,R1155,R3004,R3107,R2507,R420
