sym0,sym1,sym2,sym3,sym4,sym5,sym6
R1562500,R976,R9762503,R5991,R821643,R9752837,R2433847
R1562500,R976,R7799998,R5991,R821643,R9752988,R2433847
R1562500,R976,R5440598,R5991,R821643,R9752844,R2433847
R1562500,R976,R5440595,R5991,R821643,R9752818,R2433847
R1562500,R975,R5440621,R5991,R822224,R9750915,R2433847
R1562500,R975,R5440621,R5991,R822224,R9011526,R2433847
R1562639,R975,R5440621,R5991,R822224,R9010085,R2433847
R1719119,R965,R5440623,R5991,R822616,R9012966,R2590097
R1721624,R965,R5440598,R5991,R822224,R9009863,R2433847
R1721749,R966,R5440622,R5991,R822468,R9010489,R5011972
R1799999,R965,R5440624,R5899,R821686,R9232992,R2434223
R1799999,R965,R5440598,R5991,R821638,R9234283,R2452578
R1812499,R975,R5440595,R5991,R821643,R8999507,R2355747
R1812499,R975,R5440616,R5991,R821686,R8996321,R2434243
R1812490,R976,R5440624,R5991,R821638,R7838058,R2843202
R1812460,R975,R5440624,R5991,R821643,R8057100,R1471317
R1812375,R949,R5440573,R9999,R821636,R7837800,R1471317
R1812375,R949,R5440598,R9999,R821636,R8058474,R1315073
R1812375,R949,R5440616,R9999,R821637,R7836339,R1315073
R1812250,R949,R5440573,R9999,R821638,R7840424,R1315073
R1825254,R949,R5440595,R9999,R822122,R7840155,R3502573
R1825254,R959,R5440595,R9909,R821636,R7840400,R1315073
R1840879,R949,R5440620,R9909,R822122,R7838833,R1315073
R1871879,R949,R5440595,R9909,R821636,R7838667,R1315073
R1871889,R949,R5440595,R9909,R821636,R8053763,R1315073
R1871999,R949,R5440570,R9909,R821636,R7839512,R1315073
R1871999,R949,R5440618,R9909,R821636,R7838907,R1315068
R1871999,R949,R5440620,R9909,R821636,R7838257,R3424448
R1871999,R949,R5440595,R9909,R821638,R7838568,R1315073
R1871995,R949,R5440620,R9909,R822465,R7835704,R3502573
R1871995,R959,R5440573,R9999,R821638,R7843547,R3357396
R1950120,R959,R5424997,R9999,R821636,R8062050,R988506
R1950120,R959,R5409373,R9999,R822030,R7842963,R3408627
R1950115,R959,R5799872,R9999,R822122,R7834515,R3488386
R1940980,R949,R3609427,R9990,R821636,R8057077,R988506
R1940326,R949,R3609386,R9990,R821587,R7839508,R988506
R1940326,R959,R3609381,R9990,R821638,R7838041,R3357396
R1940326,R949,R3609387,R9990,R821587,R8057635,R988506
R1940326,R949,R3609384,R9990,R821638,R7843658,R2966146
R1940327,R959,R3609426,R9901,R821979,R7835111,R1315073
R1940327,R959,R3703125,R9901,R821979,R8058192,R1393568
R1940327,R959,R3875875,R9901,R821979,R7834457,R1315438
R1940326,R959,R3798003,R9901,R821980,R8061182,R1315073
R1940326,R959,R3797875,R9901,R821587,R7835281,R3358824
R1940327,R959,R3797925,R9901,R822468,R7843586,R1393689
R1940326,R959,R3797875,R9901,R822469,R7843674,R1315067
R1862201,R959,R3798002,R9901,R821980,R7840259,R1315073
R1940326,R959,R3798003,R9901,R821980,R8058285,R1315073
R1862203,R959,R3723650,R9901,R668804,R8053954,R3488401
R1861704,R959,R3632403,R9901,R668079,R7839248,R988506
R1861704,R959,R3540883,R9900,R668086,R7838062,R3436772
R1861704,R959,R3544028,R9901,R666404,R7839721,R3513521
R1862154,R975,R3544028,R9800,R668429,R7843330,R3357396
R1862154,R975,R3541029,R9800,R668429,R7840143,R988501
R1862154,R975,R3540883,R9800,R668086,R8059149,R3435251
R1862154,R975,R3540883,R9800,R668466,R8061856,R3488386
R1862154,R975,R3540801,R9800,R668043,R7838828,R988501
R1862154,R975,R3540826,R9800,R668466,R7839464,R1005286
R1862154,R975,R3540950,R9800,R668429,R7843597,R3409277
R1862154,R975,R3634675,R9800,R668085,R8059026,R3407648
R1862154,R975,R3634825,R9800,R668429,R7842991,R1395261
R1862129,R975,R3634675,R9800,R668086,R7834447,R1005286
R1862129,R975,R3634675,R9800,R668086,R7831346,R1395286
R1862129,R975,R3634800,R9800,R668811,R7838845,R3485673
R1862129,R975,R3634625,R9800,R668086,R7843544,R3407643
R1862129,R975,R3634630,R9800,R668043,R7839653,R1395756
R1862129,R975,R3634775,R9800,R668085,R8058328,R1395286
R1862129,R975,R3634753,R9800,R668811,R7843669,R3486416
R1862129,R975,R3634775,R9900,R668085,R7835708,R1395781
R1862129,R975,R3634630,R9900,R668085,R7835132,R1005161
