sym0,sym1,sym2,sym3,sym4,sym5,sym6
R98909,R95941,R38760,R99018,R89924,R90025,R27499
R98909,R95951,R38770,R99018,R99959,R90028,R17580
R98909,R95961,R38760,R99018,R99959,R90028,R16390
R97909,R95941,R38760,R99018,R89935,R90027,R6380
R98909,R95941,R38770,R99018,R89935,R90706,R6380
R97909,R95941,R39573,R99018,R76749,R90704,R26873
R97906,R95951,R39255,R99018,R76828,R90027,R15573
R97907,R95951,R39127,R99008,R76827,R90027,R26688
R97906,R95951,R39138,R99018,R86749,R90027,R27888
R97909,R97540,R39128,R98008,R76838,R90028,R26488
R97909,R97530,R39137,R98008,R76838,R90027,R15473
R97909,R97540,R39137,R98008,R76827,R90707,R26688
R97909,R97530,R39127,R98008,R76749,R90708,R27962
R97909,R97530,R39137,R98008,R76815,R90026,R15473
R97909,R97530,R39137,R98008,R76749,R90026,R15482
R97909,R97540,R39136,R98008,R76838,R90028,R26670
R97909,R97530,R39246,R98008,R76828,R90707,R26770
R97909,R97540,R39246,R98008,R76838,R90028,R16482
R97909,R97530,R39246,R98008,R76827,R90025,R15482
R97909,R97530,R39246,R98008,R76827,R90023,R16482
R97909,R97530,R39246,R98008,R76749,R90026,R27970
R97909,R97540,R39246,R98008,R76827,R90028,R26771
R97909,R97530,R39246,R98008,R76815,R90027,R16482
R97909,R97530,R39246,R98008,R76828,R90707,R16482
R97909,R97540,R39246,R98008,R76749,R90028,R27971
R97909,R97530,R39246,R99008,R76828,R90025,R16482
R97909,R97530,R39246,R99008,R76828,R90024,R15482
R97909,R97540,R39246,R98008,R86749,R90708,R27971
R97909,R97530,R39246,R98008,R76827,R90706,R16482
R97909,R97530,R39246,R98008,R76749,R90026,R27872
R97909,R97540,R29345,R98008,R76838,R90028,R16482
R97909,R97540,R29335,R98008,R76827,R90027,R26773
R97909,R97430,R29345,R98008,R76749,R90706,R27989
R97909,R97430,R29335,R98008,R76828,R90136,R27699
R97909,R97430,R29345,R98008,R76828,R52374,R16482
R97909,R97540,R29235,R98008,R76838,R51476,R15482
R97909,R96540,R29335,R98008,R86749,R51377,R26588
R97909,R97420,R29345,R98099,R76827,R51373,R15482
R97909,R96540,R29335,R98008,R86749,R40817,R27970
R97909,R96430,R29345,R99008,R76749,R50376,R27971
R97909,R96540,R29335,R99008,R86749,R51376,R27971
R97909,R96540,R29335,R98008,R76838,R51467,R16482
R97909,R96440,R29335,R98008,R76815,R51376,R15482
R97909,R96550,R29235,R98008,R76738,R40817,R25782
R97909,R96540,R29235,R98008,R76738,R50467,R15482
R97909,R96440,R29335,R90899,R76749,R51367,R27971
R98909,R96440,R29335,R90808,R76815,R51476,R26782
R99906,R96440,R29345,R90808,R86649,R50707,R15482
R99905,R96440,R29345,R90808,R76828,R50474,R16482
R99905,R96440,R29336,R90808,R76827,R42813,R16782
R99905,R96440,R29335,R90808,R76815,R52816,R16482
R99905,R96440,R29336,R91809,R76749,R41818,R27971
R99905,R96440,R29335,R90808,R76815,R42812,R26599
R99904,R96440,R29335,R90808,R76828,R51814,R16782
R99904,R96440,R29335,R90899,R76815,R51474,R26781
R99904,R96440,R29335,R90809,R76815,R52466,R15382
R99904,R96430,R29335,R90808,R76815,R51377,R16681
R99904,R96430,R29335,R90808,R76815,R51815,R16581
R99904,R96450,R29335,R90808,R76827,R50278,R26599
R99904,R96430,R29335,R90808,R76815,R52472,R16482
R99904,R96430,R29335,R91809,R76815,R51465,R16482
R99904,R96440,R29335,R90808,R76749,R41815,R27871
R99904,R96440,R29336,R90808,R86649,R51356,R27878
R99904,R96430,R29335,R90808,R76815,R51472,R15482
R99904,R95441,R29335,R90808,R76815,R51376,R15382
R98904,R95441,R29336,R90899,R76749,R52375,R27971
R98904,R95330,R19425,R91809,R76828,R52563,R15482
R98904,R95330,R19425,R91809,R76815,R50375,R15482
R98904,R95331,R29424,R91809,R76815,R51463,R15482
R98904,R95441,R29424,R90808,R76827,R31816,R15482
R98904,R95330,R29434,R90808,R76815,R22584,R15482
R98904,R95331,R29434,R90808,R76749,R22584,R27971
R98904,R95331,R29424,R90808,R76749,R22924,R27971
R89904,R85331,R29424,R90808,R76828,R22587,R15482
R89905,R85331,R29424,R90808,R76815,R22927,R15482
R89905,R85341,R29434,R91809,R76827,R21488,R15482
R89905,R85441,R29424,R90808,R76827,R22586,R15482
R89905,R85351,R29434,R91809,R86689,R22585,R42899
R89908,R85321,R29524,R91809,R86470,R22924,R52690
R89908,R85422,R29424,R91809,R86498,R25589,R52999
R89908,R85432,R29534,R91809,R87454,R25589,R51799
R89909,R83845,R29524,R90909,R87455,R25589,R50793
R89909,R83856,R29524,R90909,R88357,R25819,R50793
R89909,R83856,R29534,R90909,R88369,R25589,R50793
R89909,R83856,R29534,R90909,R88455,R25929,R51792
R89909,R82856,R29624,R90909,R87454,R25589,R50794
R89909,R82856,R29624,R80909,R87454,R24589,R51792
R89909,R82856,R29624,R80909,R88357,R24489,R50791
R88909,R82856,R29624,R80909,R88455,R25588,R50793
R88909,R82856,R29624,R80909,R88357,R24589,R50793
R88909,R82756,R29724,R80809,R88369,R24589,R51991
R88909,R82856,R29624,R80809,R88355,R24589,R50793
R88909,R82867,R29424,R80809,R88358,R25589,R50793
R88909,R82867,R29424,R80809,R88357,R24589,R50693
R88909,R82867,R19424,R80809,R88268,R24929,R51898
R88909,R82756,R29424,R80809,R89157,R24589,R51693
R88819,R82756,R29424,R90999,R89169,R25588,R52893
R88819,R82756,R29424,R80809,R89158,R25589,R51693
R88919,R82756,R29424,R80909,R89158,R25589,R51693
R88819,R82757,R29424,R80909,R89079,R25829,R51892
R88819,R82867,R29424,R90999,R89079,R24489,R51891
R87819,R82757,R29424,R80809,R89157,R24589,R51693
R87818,R82757,R19524,R80809,R89157,R24829,R51693
R87818,R82757,R19524,R80809,R89157,R24929,R51693
R87818,R82757,R19524,R80809,R89079,R24489,R52993
R87819,R82757,R19424,R80808,R89079,R24919,R52998
R87818,R82757,R19524,R80809,R89069,R15589,R52993
R87819,R82757,R18524,R80809,R89157,R15589,R52799
R87619,R82757,R19524,R80809,R89069,R15689,R62999
R88519,R82767,R18524,R80909,R89079,R15689,R62993
R88519,R81757,R19524,R90909,R89068,R15689,R51792
R78519,R81757,R19514,R80909,R89157,R15929,R51693
R68319,R81757,R19524,R80809,R89069,R15689,R62798
R68419,R81757,R18525,R80809,R89157,R15929,R62698
R59417,R81767,R18524,R80999,R89168,R15929,R51693
R59417,R82666,R18525,R80999,R89157,R29584,R61693
R69417,R82666,R18525,R80808,R89155,R19581,R61943
R69414,R82666,R19425,R80909,R89155,R29584,R60556
R59314,R81666,R18425,R80909,R89158,R29486,R60555
R49313,R81666,R18525,R80909,R89155,R29582,R60555
R49213,R81666,R16386,R80909,R89155,R29584,R60755
R49213,R81776,R14476,R80909,R89155,R19582,R60758
R49213,R81666,R15376,R80909,R89155,R19923,R60754
R49213,R81666,R15376,R80909,R89155,R29586,R61754
R49213,R81666,R14476,R80909,R89155,R29927,R60555
R39213,R81666,R14386,R80909,R89155,R29585,R60555
R39213,R81666,R14376,R80909,R89155,R29583,R60555
R39213,R81666,R14476,R80909,R89155,R29584,R60555
R39213,R81676,R15376,R80909,R89155,R29827,R60555
R39213,R81677,R16376,R80909,R89155,R29584,R61754
R39213,R81666,R16376,R80909,R88255,R29585,R60555
R39213,R81676,R14387,R80909,R88255,R19816,R61659
R39213,R81676,R15376,R80909,R88255,R19927,R61454
R39213,R81666,R14486,R80909,R78254,R29485,R61455
R39213,R81666,R14386,R80909,R78159,R29917,R62943
R39213,R81666,R15376,R80890,R78254,R29585,R61455
R39213,R81666,R15476,R80890,R78158,R29585,R61454
R28212,R81676,R14376,R80890,R78254,R29917,R61454
R28212,R81666,R4476,R80890,R78158,R29581,R62944
R28212,R81677,R4476,R80890,R78254,R19585,R61444
R28212,R81666,R6476,R80890,R78242,R29583,R61444
R28212,R81666,R5476,R80890,R78242,R19924,R61759
R28213,R81666,R5476,R80890,R78159,R19582,R62944
R28213,R81666,R4476,R80899,R78242,R19585,R61354
R28213,R81676,R5476,R80890,R88169,R19926,R62844
R29213,R81666,R5476,R80890,R88255,R19582,R61444
R29213,R81666,R4476,R80890,R78254,R19582,R61445
R29213,R81666,R4476,R80890,R78242,R19586,R61544
R19213,R81666,R4476,R80890,R78242,R19585,R61344
R19213,R81566,R5475,R80890,R78242,R19922,R61344
R19224,R81667,R5475,R80890,R78254,R19584,R61344
R19224,R81667,R6475,R80890,R89169,R15699,R72844
R19224,R81667,R5476,R80890,R89169,R15698,R62593
R29119,R81667,R4476,R80890,R78253,R15599,R62693
R19118,R81768,R5476,R80890,R89169,R15929,R72998
R19117,R81767,R5475,R80890,R88254,R15938,R62593
R19116,R81767,R16475,R80890,R88154,R15589,R62699
R19116,R81667,R17374,R80890,R78253,R15938,R62592
R19116,R81667,R17474,R80890,R78253,R15599,R62792
R19116,R80667,R16484,R80890,R78253,R15599,R62592
R19116,R80768,R16485,R80890,R89179,R15699,R72990
R19116,R81768,R16485,R80890,R88155,R15699,R62691
R19115,R81668,R16485,R80999,R88154,R15699,R72492
R19117,R80668,R16385,R80899,R88254,R15929,R72698
R19116,R80667,R16385,R80899,R78253,R15599,R72592
R19116,R80667,R16484,R80890,R78169,R15938,R72981
R19116,R80667,R16484,R80890,R89169,R15698,R72981
R19116,R80667,R16484,R80890,R89155,R15699,R72592
R19116,R80668,R16385,R80890,R89168,R15699,R72492
R19116,R80667,R17375,R80890,R89157,R16938,R72981
R19116,R80667,R16474,R80890,R89155,R15699,R72981
R19116,R80667,R16485,R89080,R89179,R15699,R72980
R19116,R80668,R16485,R89090,R89168,R15929,R72691
R19116,R80668,R17385,R89090,R89169,R15929,R72892
R19116,R80667,R6484,R89099,R89155,R15698,R72598
R19116,R80667,R6484,R89099,R89169,R15699,R72791
R19116,R80667,R6484,R89099,R89169,R15699,R72799
R19116,R80668,R6485,R89090,R89168,R15699,R72492
R19116,R80668,R6485,R89080,R89155,R5699,R72981
R19116,R80667,R7474,R89090,R89155,R5939,R72492
R19116,R80668,R6485,R89090,R89155,R5929,R72492
R19116,R80668,R6474,R89081,R89157,R15699,R72491
R19117,R80668,R7374,R89080,R89155,R5939,R72598
R19118,R80667,R6474,R89080,R89157,R15699,R72392
R19117,R80668,R6484,R89080,R89169,R5948,R82981
R19117,R80567,R6485,R89080,R89155,R5948,R72392
R19115,R80568,R6475,R89080,R89155,R5939,R72791
R19115,R80467,R7375,R89080,R89157,R3935,R72791
R19115,R70467,R6475,R89090,R89157,R3696,R74398
R19115,R72043,R6376,R78080,R89157,R3692,R74390
R19115,R72054,R6485,R78080,R88155,R3695,R74499
R19114,R72044,R6485,R88081,R88155,R12698,R74499
R19114,R72044,R6475,R88199,R88155,R3937,R74790
R19114,R72043,R17474,R88082,R88155,R3952,R74790
R19115,R72054,R6385,R88081,R89156,R3696,R74390
R19115,R72054,R7385,R78080,R89169,R3922,R84990
R19114,R72054,R16484,R78080,R88155,R3932,R74390
R19114,R72054,R17484,R78070,R89159,R13693,R84890
R19114,R72054,R17484,R78080,R88155,R3943,R74390
R19114,R72044,R17484,R78080,R89159,R3942,R84990
R19114,R72054,R17484,R78080,R89169,R3696,R84890
R18114,R72064,R17485,R78080,R88247,R3694,R76190
R18114,R72053,R16485,R78080,R68343,R13695,R78990
R18114,R72053,R7385,R88082,R78249,R13597,R77890
R18114,R72053,R6384,R88082,R68343,R3696,R77190
R18114,R72055,R17385,R88099,R78344,R3694,R78899
R18114,R71054,R16484,R88099,R67321,R13693,R77190
R18114,R71054,R6485,R88081,R67321,R3942,R77690
R18114,R71054,R6385,R88081,R67321,R3934,R77190
R18114,R71054,R7384,R88081,R78249,R3693,R78890
R18114,R71064,R7484,R78080,R68248,R3693,R77798
R18114,R71054,R7484,R78080,R67321,R3691,R77190
R18114,R71054,R6484,R78080,R67321,R2945,R77199
R18114,R71054,R7484,R78080,R67321,R3951,R77890
R18124,R71054,R6385,R88081,R68343,R3693,R77890
R8124,R71054,R6484,R88081,R67321,R3692,R77190
R8124,R71054,R6484,R78080,R67321,R3691,R77190
R8124,R71054,R6484,R78080,R67321,R3691,R77190
R8124,R71054,R7484,R78080,R67321,R3691,R77190
R8024,R71054,R6484,R78080,R67321,R3691,R87199
R8024,R71054,R7484,R78080,R67321,R3944,R77190
R8024,R71054,R5770,R78098,R67321,R3691,R87190
R8125,R71075,R5670,R78080,R67321,R3952,R87190
R8125,R71075,R5670,R78080,R67331,R5920,R88299
R8125,R71074,R5680,R78080,R67331,R5930,R87830
R8123,R70487,R6670,R78032,R67331,R5930,R87831
R8123,R70377,R5580,R78181,R67331,R6690,R86140
R8022,R70387,R6671,R78181,R67331,R6690,R86458
R8022,R70387,R5670,R78199,R67331,R6690,R86159
R8022,R70387,R2753,R78183,R67331,R6920,R87849
R8022,R70377,R2853,R78175,R67331,R5690,R87831
R8022,R70377,R2853,R78183,R67331,R5930,R86041
R8022,R70377,R2853,R78015,R67331,R5930,R87831
R8022,R70377,R2853,R78181,R67331,R6930,R86041
R8021,R70377,R2753,R78181,R67331,R5920,R86042
R8021,R70487,R2753,R78181,R67331,R6690,R87058
R8021,R70487,R2753,R78181,R67331,R6690,R86041
R8023,R70376,R2853,R78181,R67331,R6930,R86540
R8023,R70377,R2853,R78181,R67331,R5930,R86540
R8022,R70376,R2853,R78181,R67331,R5930,R86041
R8022,R70376,R2853,R78181,R67331,R5690,R86041
R8022,R70377,R2753,R78181,R67331,R5690,R86041
R8022,R70377,R2753,R78181,R67331,R6690,R88930
R8022,R70377,R2853,R78181,R67331,R5690,R86041
R8022,R70377,R2853,R78181,R67331,R5930,R87341
R7022,R70487,R2753,R78183,R67331,R5680,R87058
R7021,R70377,R2843,R78023,R67331,R6690,R87831
R7021,R70377,R2843,R78181,R67331,R6690,R87041
R7023,R70377,R2853,R78181,R67331,R6690,R87158
R7021,R70376,R2843,R78199,R67331,R6690,R87041
R7021,R70387,R2843,R78181,R67331,R6690,R97830
R7021,R70377,R2853,R78181,R67331,R6690,R87041
R7022,R70377,R2743,R78181,R67331,R6690,R87041
R8022,R70377,R2753,R78080,R67331,R6930,R97059
R8022,R70377,R2853,R78080,R67331,R6930,R97140
R8023,R70377,R2753,R78080,R67331,R6930,R97041
R8022,R70377,R2843,R78180,R67331,R6690,R97041
R8022,R70377,R2766,R78180,R67331,R6690,R98730
R8023,R70357,R3766,R78180,R67331,R5690,R97041
R8023,R70457,R3766,R78180,R68242,R6968,R97041
R8033,R70568,R3766,R78180,R68242,R6698,R95172
R8025,R70568,R3666,R77180,R68242,R6698,R96689
R8025,R70568,R3766,R77180,R68242,R6958,R95172
R8025,R70568,R3666,R77180,R68242,R6698,R96289
R8025,R70568,R3666,R78172,R68242,R6698,R97189
R8024,R70457,R4575,R78173,R68242,R6698,R96161
R8024,R70568,R4575,R78172,R68242,R5698,R96471
R8025,R70457,R4574,R78172,R68242,R6698,R96160
R8024,R70457,R4674,R78172,R68242,R6798,R96172
R8024,R70568,R4475,R78172,R68242,R6958,R96178
R8024,R70457,R4575,R78113,R68242,R6968,R97762
R8024,R70457,R5575,R78113,R68242,R6959,R97768
R8025,R70568,R4575,R77181,R68242,R6699,R96161
R8024,R70568,R4575,R77180,R68242,R6698,R97968
R8024,R70457,R4575,R77180,R68242,R6798,R96172
R8024,R70457,R4575,R77180,R68242,R6968,R97960
R8024,R70458,R4574,R77181,R68242,R6698,R96162
R7024,R70458,R4575,R78172,R68242,R6978,R97461
R7024,R70457,R4575,R78172,R68242,R6698,R97162
R7024,R70458,R4675,R77180,R68242,R6698,R97062
R7024,R70458,R4575,R77180,R68242,R6958,R97062
R7024,R70457,R4575,R77180,R68242,R6698,R97088
R7024,R70457,R11826,R77180,R68242,R6798,R97178
R7025,R70457,R11826,R77180,R68242,R6958,R97161
R7024,R70457,R11826,R77180,R68242,R6698,R98879
R7025,R70457,R12826,R77180,R68242,R5938,R98850
R7024,R70457,R11825,R78172,R68242,R5698,R97061
R7024,R70458,R11826,R78172,R68242,R6699,R97061
R7024,R70458,R11825,R78172,R68242,R5939,R97062
R7024,R70457,R12825,R78172,R68242,R15698,R97361
R7024,R70457,R11825,R78172,R68242,R5698,R97361
R7024,R70458,R12826,R78172,R68242,R5698,R97178
R7024,R70457,R12826,R77699,R68242,R5698,R97061
R7024,R70558,R10911,R77181,R68242,R6698,R97061
R7023,R70568,R10911,R77181,R68242,R5698,R97061
R7024,R70356,R10911,R78021,R67321,R15690,R97361
R7023,R70367,R10911,R77180,R67321,R15690,R98041
R7020,R71055,R10911,R67181,R67321,R15690,R98048
R7020,R71034,R10911,R67181,R67321,R15690,R98030
R7020,R71044,R10911,R67171,R67321,R15690,R98049
R7020,R70044,R10911,R67180,R67321,R5920,R98040
R7020,R70034,R11921,R67180,R67321,R5920,R98030
R7020,R70034,R11921,R67180,R67321,R15690,R98030
R7020,R60034,R11921,R67180,R67321,R15590,R98820
R7020,R60034,R11910,R67180,R67321,R16590,R98030
R7020,R60034,R11911,R67180,R67321,R15690,R98030
R7020,R61034,R11911,R67181,R67321,R5920,R98030
R7020,R60034,R11921,R67181,R67321,R5920,R98820
R7020,R60034,R11921,R67181,R67321,R5930,R98030
R7020,R60034,R11921,R67173,R67321,R15680,R98030
R7020,R60034,R11911,R67173,R67321,R15690,R98838
R7030,R60034,R11911,R67173,R67321,R15690,R98030
R7050,R60024,R11911,R67173,R67321,R15690,R98830
R7040,R60024,R11911,R67173,R67321,R15920,R98030
R7040,R60034,R11911,R67173,R67321,R15680,R98820
R7040,R60034,R11921,R67173,R67321,R15680,R98820
R7040,R60024,R11911,R67173,R67321,R5920,R98030
R7090,R66183,R11921,R79921,R37690,R5920,R99021
R7090,R67183,R11813,R79913,R36990,R15690,R99003
R7090,R67183,R11813,R79913,R36990,R15690,R89004
R7090,R67193,R11814,R79915,R27950,R16590,R89008
R7090,R67193,R11813,R79913,R27950,R15580,R89008
R6090,R67183,R11822,R79999,R27950,R15580,R89003
R6080,R67183,R11822,R79913,R27950,R15580,R89008
R6180,R67281,R11822,R79915,R27950,R15920,R79003
R6170,R67281,R11822,R79915,R27950,R15580,R79003
R6170,R68283,R11921,R77266,R27950,R15580,R79004
R6140,R68283,R11813,R77699,R27950,R15920,R79108
R16130,R68283,R21814,R77699,R27950,R15580,R79004
R16130,R68382,R22813,R77117,R27950,R15580,R69803
R6130,R68383,R22812,R77266,R27950,R15580,R69003
R6130,R68494,R12821,R77266,R27960,R12924,R69003
R6130,R68383,R21921,R77266,R27960,R12921,R69050
R16122,R68383,R21921,R67346,R27960,R13921,R69050
R16123,R68394,R21921,R67346,R27960,R12693,R69750
R16123,R68494,R21921,R69913,R37960,R13692,R69068
R16124,R68393,R22812,R69922,R37960,R13932,R69051
R16124,R68584,R22813,R69931,R37960,R13683,R59068
R16124,R68483,R22813,R69931,R37960,R13582,R59053
R16124,R68583,R22813,R69931,R37960,R13922,R59052
R16124,R68583,R21812,R69931,R37960,R13923,R59179
R16124,R68582,R21812,R69922,R37960,R13921,R49851
R16124,R68583,R21812,R69922,R37960,R12922,R49852
R16124,R68583,R21812,R69922,R37960,R13691,R49163
R16124,R68582,R21812,R69999,R37960,R12922,R49171
R16124,R68582,R21921,R69922,R37960,R12922,R49171
R16124,R68583,R11930,R69915,R37960,R12693,R49879
R16124,R68582,R21930,R69915,R37960,R13921,R49163
R16143,R68583,R21920,R69915,R37960,R12922,R49163
R16144,R68582,R21921,R69916,R37960,R13691,R49261
R16153,R68583,R21921,R69916,R37960,R12933,R49851
R16144,R68672,R20920,R69916,R37960,R13681,R8274
R16143,R68672,R20920,R69915,R37960,R12692,R8274
R16164,R69783,R20920,R69913,R27960,R13682,R8282
R16164,R69672,R30940,R69913,R27960,R13921,R9871
R16164,R69672,R30950,R69905,R27960,R13922,R9871
R16164,R69783,R30950,R69913,R27960,R12692,R8489
R16154,R69672,R30940,R69913,R27960,R22682,R8264
R16164,R69672,R30930,R69913,R27960,R22921,R8264
R16153,R69672,R30940,R69913,R27960,R22923,R8463
R16143,R69672,R30940,R69913,R27960,R22921,R8463
R16133,R69672,R30940,R69931,R27960,R22581,R8264
R16133,R69684,R30940,R67273,R26960,R22925,R8663
R16133,R69784,R30930,R67273,R26960,R22583,R8364
R16233,R69673,R30912,R67273,R26960,R22581,R8364
R16233,R69673,R31828,R67273,R26960,R22921,R8264
R16233,R69794,R31827,R67273,R26960,R22583,R8878
R16233,R69785,R20954,R67273,R37971,R22581,R8364
R16233,R69785,R21954,R67346,R37971,R22581,R8753
R16250,R68998,R20954,R67536,R37971,R22582,R8379
R16240,R68998,R20954,R67536,R37971,R22582,R8379
R16230,R68998,R30954,R67536,R27971,R22681,R8354
R26231,R68998,R20944,R67536,R27971,R22923,R8254
R26231,R68998,R20819,R67345,R27971,R22581,R8479
R26231,R68998,R20819,R67345,R27971,R22581,R8754
R26231,R68998,R20819,R67345,R27971,R22583,R8754
R26231,R68998,R20919,R67345,R27971,R22581,R8254
R26231,R68998,R20819,R67345,R27971,R22581,R8569
R26241,R68998,R20919,R67116,R27971,R22582,R8853
R26241,R68988,R20919,R67345,R27971,R22584,R8254
R26241,R68998,R20919,R67263,R27971,R22925,R8173
R26251,R68998,R20937,R67263,R27971,R22922,R8162
R26241,R68988,R20954,R67263,R27971,R22681,R9399
R16281,R68988,R20954,R67272,R4864,R22582,R8853
R26291,R68998,R20946,R67272,R4864,R22583,R9968
R26291,R68988,R20928,R67272,R4864,R22681,R8753
R26291,R68998,R20928,R67272,R4864,R22583,R8363
R26291,R68988,R20928,R67272,R4864,R22581,R8264
R26291,R68988,R20928,R67272,R4864,R23581,R8853
R16291,R68988,R20928,R67272,R4864,R22581,R8261
R16291,R68988,R30946,R62199,R4864,R22581,R9861
R16291,R68998,R30965,R67116,R4864,R22583,R9979
R16291,R68988,R30965,R67345,R4864,R22581,R8389
R16291,R68988,R30946,R67718,R4864,R22582,R9851
R16291,R68998,R30947,R67536,R4864,R22924,R8389
R16291,R68988,R30946,R67536,R4864,R22582,R8389
R26291,R68988,R30946,R67536,R4864,R22922,R9852
R26291,R68998,R30946,R67536,R4864,R22923,R9853
R26291,R68988,R30947,R67536,R4864,R22582,R8954
R26290,R68998,R30829,R67536,R4864,R22583,R8354
R26280,R68988,R30819,R67536,R4864,R22922,R8354
R26291,R68998,R30819,R67345,R4864,R22585,R8460
R26293,R68968,R30838,R67345,R4864,R22584,R8262
R26293,R68957,R30955,R67345,R3853,R39572,R8460
R26293,R68967,R30956,R67536,R3853,R29815,R15206
R26295,R69645,R30955,R67627,R3853,R29812,R5107
R26295,R69645,R30956,R67117,R3853,R29812,R26807
R26295,R69645,R30955,R67536,R3853,R39472,R25208
R26285,R69655,R30938,R67627,R3853,R29814,R15208
R26285,R69655,R32639,R67718,R3853,R29817,R15208
R26295,R69645,R32638,R67718,R3853,R39472,R25608
R26285,R69645,R32748,R67718,R3853,R39374,R15608
R26286,R69645,R32748,R67536,R3853,R39472,R15207
R26295,R69645,R32747,R67536,R3853,R39381,R15108
R26295,R69645,R32748,R67536,R3853,R39572,R15108
R26297,R69645,R32748,R67536,R3853,R39472,R15207
R26295,R69645,R32748,R67536,R3853,R29815,R25808
R26296,R69646,R32748,R67536,R3853,R29812,R25108
R26295,R59645,R32748,R67536,R3853,R39477,R15208
R26296,R59656,R32738,R61899,R3853,R39476,R25208
R26296,R59645,R32648,R56363,R3853,R29811,R25808
R26295,R59545,R32738,R56272,R3853,R39573,R15108
R26296,R59536,R32648,R56271,R3853,R29813,R25808
R26295,R59536,R32748,R56272,R3853,R29812,R25708
R26296,R59656,R32748,R56272,R3853,R29815,R15208
R26295,R59646,R32748,R56271,R3853,R39574,R15108
R26295,R59646,R32548,R56272,R3853,R29812,R15208
R26295,R59646,R32548,R61599,R3853,R39474,R25209
R25295,R59535,R32549,R56363,R3853,R29472,R15308
R25295,R59646,R32549,R67445,R3853,R39373,R25808
R25295,R59646,R32549,R67445,R3853,R39365,R25608
R25295,R59646,R32548,R67445,R3853,R39455,R15208
R25295,R59646,R32548,R67445,R3853,R38475,R15208
R25285,R59526,R32548,R67445,R3853,R39464,R15208
R25285,R59526,R32548,R67445,R3853,R38813,R25808
R25285,R59526,R32549,R67445,R3853,R38813,R15208
R25275,R59526,R46717,R56363,R3853,R39462,R25608
R25285,R59536,R46717,R67445,R3853,R38375,R25608
R25285,R59536,R46717,R67445,R14774,R39813,R33717
R25285,R59435,R46717,R67536,R3764,R39812,R33417
R25285,R59425,R46717,R67445,R3764,R39812,R44907
R25285,R59425,R46717,R51899,R3764,R39463,R33317
R25275,R59425,R46716,R51899,R3764,R39372,R32317
R25276,R59425,R46717,R56636,R3764,R39472,R32317
R35376,R59445,R46717,R56363,R3764,R38814,R32717
R35376,R59425,R33709,R56363,R3764,R39464,R32317
R35377,R59445,R33709,R56545,R3764,R39365,R44919
R35377,R59445,R33809,R56636,R3764,R39363,R43907
R35277,R59445,R33809,R56636,R3764,R39815,R32317
R35377,R59445,R43809,R56545,R3764,R39816,R43807
R35378,R59425,R33809,R56545,R3764,R39462,R33417
R35377,R59325,R33809,R56636,R3764,R39812,R32317
R35377,R59325,R33709,R56727,R3764,R39361,R33317
R35377,R59445,R33709,R56727,R3764,R39714,R32317
