sym0,sym1,sym2,sym3,sym4,sym5,sym6
R90000,R97600,R99999,R59916,R99915,R99991,R33217
R90000,R97600,R69990,R59916,R99915,R99991,R33217
R90000,R97600,R47960,R59916,R99915,R99991,R33217
R90000,R97600,R47960,R59917,R99915,R99991,R33217
R90000,R97500,R47960,R59917,R99951,R99991,R33217
R90000,R97500,R47960,R59917,R99951,R96027,R33217
R90000,R97500,R47960,R59916,R99951,R96026,R33217
R94000,R96500,R47960,R59917,R99963,R96028,R33616
R95009,R96500,R47960,R59917,R99951,R96027,R33216
R95009,R96600,R47960,R59917,R99949,R96027,R44816
R96009,R96500,R47960,R58999,R99916,R96708,R33217
R96009,R96500,R47960,R59914,R99915,R96708,R33329
R96099,R97500,R47960,R59914,R99915,R96018,R33116
R96099,R97500,R47960,R59914,R99926,R96017,R33316
R96099,R97610,R47970,R59914,R99925,R90027,R34329
R96099,R97500,R47970,R59914,R99915,R90707,R16780
R96199,R94910,R47970,R99990,R99914,R90027,R16780
R96199,R94911,R47970,R99990,R99914,R90707,R6380
R96199,R94911,R47970,R99990,R99925,R90024,R16380
R97199,R94921,R47960,R99990,R99925,R90027,R6381
R97290,R94911,R47960,R99990,R99949,R90027,R27980
R97390,R95921,R47970,R99090,R99914,R90027,R6380
R97590,R94921,R47970,R99090,R99949,R90026,R6380
R97890,R94931,R47970,R99090,R99914,R90027,R6380
R97990,R94921,R47970,R99090,R99914,R90704,R6380
R97990,R94921,R47970,R99090,R99914,R90026,R6380
R97990,R94921,R47970,R99090,R99914,R90026,R16390
R97990,R94921,R47970,R99090,R99914,R90026,R27780
R97990,R94931,R47970,R99090,R99925,R90027,R6380
R97990,R94920,R47970,R99090,R99949,R90025,R27980
R97990,R95950,R47970,R99990,R99925,R90028,R26488
R99990,R95940,R47950,R99990,R99925,R90708,R15473
R99990,R95950,R47830,R99990,R99937,R90028,R26671
R99990,R95940,R48830,R99990,R99949,R90024,R27962
R99920,R94940,R39321,R99908,R99925,R90706,R15473
R98909,R94940,R39321,R99908,R99914,R90026,R15473
R98909,R95951,R39321,R99908,R99925,R90027,R26488
R98909,R94940,R39321,R99908,R99914,R90707,R15473
R98909,R94951,R39221,R99908,R99925,R90028,R25588
R98909,R95951,R39321,R99018,R89925,R90024,R16380
R98909,R95941,R39540,R99018,R89925,R90706,R17480
R98909,R95941,R38860,R99018,R89925,R90025,R17390
R98909,R95951,R38770,R99018,R89935,R90708,R6290
